商品编码,单证编号,单证名称
01059991,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01059991,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01059991,I-3-02,《原产地证书》
01059992,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01059992,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01059992,I-3-02,《原产地证书》
01059993,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01059993,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01059993,I-3-02,《原产地证书》
01059994,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01059994,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01059994,I-3-02,《原产地证书》
01061110,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061110,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061110,I-3-02,《原产地证书》
01061190,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061190,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061190,I-3-02,《原产地证书》
01061211,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061211,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061211,I-3-02,《原产地证书》
01061219,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061219,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061219,I-3-02,《原产地证书》
01061221,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061221,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061221,I-3-02,《原产地证书》
01061229,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061229,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061229,I-3-02,《原产地证书》
01061310,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061310,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061310,I-3-02,《原产地证书》
01061390,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061390,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01061390,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061390,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01061390,I-3-02,《原产地证书》
01061410,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061410,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061410,I-3-02,《原产地证书》
01061490,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061490,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01061490,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061490,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01061490,I-3-02,《原产地证书》
01061910,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061910,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061910,I-3-02,《原产地证书》
01061990,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01061990,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01061990,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01061990,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01061990,I-3-02,《原产地证书》
01062011,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01062011,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01062011,I-3-02,《原产地证书》
01062019,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01062019,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01062019,I-3-02,《原产地证书》
01062020,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01062020,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01062020,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01062020,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01062020,I-3-02,《原产地证书》
01062090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01062090,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01062090,I-3-02,《原产地证书》
01063110,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063110,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063110,I-3-02,《原产地证书》
01063190,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063190,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063190,I-3-02,《原产地证书》
01063210,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063210,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063210,I-3-02,《原产地证书》
01063290,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063290,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063290,I-3-02,《原产地证书》
01063310,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063310,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063310,I-3-02,《原产地证书》
01063390,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063390,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01063390,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063390,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01063390,I-3-02,《原产地证书》
01063910,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063910,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063910,I-3-02,《原产地证书》
01063921,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063921,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01063921,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063921,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01063921,I-3-02,《原产地证书》
01063923,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063923,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01063923,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063923,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01063923,I-3-02,《原产地证书》
01063929,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063929,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01063929,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063929,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01063929,I-3-02,《原产地证书》
01063990,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01063990,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
01063990,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01063990,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
01063990,I-3-02,《原产地证书》
01064110,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01064110,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01064110,I-3-02,《原产地证书》
01064190,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01064190,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01064190,I-3-02,《原产地证书》
01064910,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01064910,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01064910,I-3-02,《原产地证书》
01064990,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01064990,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01064990,I-3-02,《原产地证书》
01069011,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01069011,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01069011,I-3-02,《原产地证书》
01069019,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01069019,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01069019,I-3-02,《原产地证书》
01069090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
01069090,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
01069090,I-3-02,《原产地证书》
02011000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02011000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02011000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02011000,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02011000,I-3-02,《原产地证书》
02012000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02012000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02012000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02012000,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02012000,I-3-02,《原产地证书》
02013000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02013000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02013000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02013000,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02013000,I-3-02,《原产地证书》
02021000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02021000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02021000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02021000,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02021000,I-3-02,《原产地证书》
02022000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02022000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02022000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02022000,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02022000,I-3-02,《原产地证书》
02023000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02023000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02023000,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02023000,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02023000,I-3-02,《原产地证书》
02031110,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02031110,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02031110,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02031110,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02031110,I-3-02,《原产地证书》
02031190,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02031190,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02031190,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02031190,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02031190,I-3-02,《原产地证书》
02031200,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
02031200,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
02031200,I-3-01-1,《动物检疫证书》（包括《健康证书》、《兽医证书》）
02031200,I-2-06,《动植物及动植物产品检验/确认证明书》（仅适用于经香港、澳门中转的动植物及动植物产品进口报检）
02031200,I-3-02,《原产地证书》
02031900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
