商品编码,单证编号,单证名称
09096190,I-3-02,《原产地证书》
09096210,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09096210,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09096210,I-3-01-2,《植物检疫证书》
09096210,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09096210,I-3-02,《原产地证书》
09096290,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09096290,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09096290,I-3-01-2,《植物检疫证书》
09096290,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09096290,I-3-02,《原产地证书》
09101100,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09101100,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09101100,I-3-01-2,《植物检疫证书》
09101100,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09101100,I-3-02,《原产地证书》
09101200,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09101200,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09101200,I-3-01-2,《植物检疫证书》
09101200,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09101200,I-3-02,《原产地证书》
09102000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09102000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09102000,I-3-01-2,《植物检疫证书》
09102000,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09102000,I-3-02,《原产地证书》
09103000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09103000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09103000,I-3-01-2,《植物检疫证书》
09103000,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09103000,I-3-02,《原产地证书》
09109100,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09109100,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09109100,I-3-01-2,《植物检疫证书》
09109100,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09109100,I-3-02,《原产地证书》
09109910,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09109910,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09109910,I-3-01-2,《植物检疫证书》
09109910,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09109910,I-3-02,《原产地证书》
09109990,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
09109990,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
09109990,I-3-01-2,《植物检疫证书》
09109990,I-2-07,《进出口食品（化妆品）标签审核证书》或预包装食品（化妆品）标签样张和翻译件（仅适用于预包装食品、化妆品进口报检），检验检疫机构签发的对预包装食品（化妆品）标签审核合格并予以备案的证明文件
09109990,I-3-02,《原产地证书》
10011100,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10011100,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10011100,I-3-01-2,《植物检疫证书》
10011100,I-3-02,《原产地证书》
10011900,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10011900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10011900,I-3-01-2,《植物检疫证书》
10011900,I-3-02,《原产地证书》
10019100,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10019100,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10019100,I-3-01-2,《植物检疫证书》
10019100,I-3-02,《原产地证书》
10019900,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10019900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10019900,I-3-01-2,《植物检疫证书》
10019900,I-3-02,《原产地证书》
10021000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10021000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10021000,I-3-01-2,《植物检疫证书》
10021000,I-3-02,《原产地证书》
10029000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10029000,I-3-01-2,《植物检疫证书》
10029000,I-3-02,《原产地证书》
10031000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10031000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10031000,I-3-01-2,《植物检疫证书》
10031000,I-3-02,《原产地证书》
10039000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10039000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10039000,I-3-01-2,《植物检疫证书》
10039000,I-3-02,《原产地证书》
10041000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10041000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10041000,I-3-01-2,《植物检疫证书》
10041000,I-3-02,《原产地证书》
10049000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10049000,I-3-01-2,《植物检疫证书》
10049000,I-3-02,《原产地证书》
10051000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10051000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10051000,I-3-01-2,《植物检疫证书》
10051000,I-3-02,《原产地证书》
10059000,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
10059000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10059000,I-3-01-2,《植物检疫证书》
10059000,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
10059000,I-3-02,《原产地证书》
10061021,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10061021,I-3-01-2,《植物检疫证书》
10061021,I-3-02,《原产地证书》
10061029,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10061029,I-3-01-2,《植物检疫证书》
10061029,I-3-02,《原产地证书》
10061081,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10061081,I-3-01-2,《植物检疫证书》
10061081,I-3-02,《原产地证书》
10061089,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10061089,I-3-01-2,《植物检疫证书》
10061089,I-3-02,《原产地证书》
10062020,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10062020,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10062020,I-3-01-2,《植物检疫证书》
10062020,I-3-02,《原产地证书》
10062080,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10062080,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10062080,I-3-01-2,《植物检疫证书》
10062080,I-3-02,《原产地证书》
10063020,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10063020,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10063020,I-3-01-2,《植物检疫证书》
10063020,I-3-02,《原产地证书》
10063080,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10063080,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10063080,I-3-01-2,《植物检疫证书》
10063080,I-3-02,《原产地证书》
10064020,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10064020,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10064020,I-3-01-2,《植物检疫证书》
10064020,I-3-02,《原产地证书》
10064080,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10064080,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10064080,I-3-01-2,《植物检疫证书》
10064080,I-3-02,《原产地证书》
10071000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10071000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10071000,I-3-01-2,《植物检疫证书》
10071000,I-3-02,《原产地证书》
10079000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10079000,I-3-01-2,《植物检疫证书》
10079000,I-3-02,《原产地证书》
10081000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10081000,I-3-01-2,《植物检疫证书》
10081000,I-3-02,《原产地证书》
10082100,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10082100,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
10082100,I-3-01-2,《植物检疫证书》
10082100,I-3-02,《原产地证书》
10082900,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10082900,I-3-01-2,《植物检疫证书》
10082900,I-3-02,《原产地证书》
10083000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10083000,I-3-01-2,《植物检疫证书》
10083000,I-3-02,《原产地证书》
10084010,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10084010,I-3-01-2,《植物检疫证书》
10084010,I-3-02,《原产地证书》
10084090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10084090,I-3-01-2,《植物检疫证书》
10084090,I-3-02,《原产地证书》
10085010,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10085010,I-3-01-2,《植物检疫证书》
10085010,I-3-02,《原产地证书》
10085090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10085090,I-3-01-2,《植物检疫证书》
10085090,I-3-02,《原产地证书》
10086010,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10086010,I-3-01-2,《植物检疫证书》
10086010,I-3-02,《原产地证书》
10086090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10086090,I-3-01-2,《植物检疫证书》
10086090,I-3-02,《原产地证书》
10089010,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
10089010,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
10089010,I-3-01-2,《植物检疫证书》
10089010,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
10089010,I-3-02,《原产地证书》
10089090,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
10089090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
10089090,I-3-01-2,《植物检疫证书》
10089090,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
10089090,I-3-02,《原产地证书》
11010000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11010000,I-3-01-2,《植物检疫证书》
11010000,I-3-02,《原产地证书》
11022000,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11022000,I-3-01-2,《植物检疫证书》
11022000,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11022000,I-3-02,《原产地证书》
11029021,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11029021,I-3-01-2,《植物检疫证书》
11029021,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11029021,I-3-02,《原产地证书》
11029029,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11029029,I-3-01-2,《植物检疫证书》
11029029,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11029029,I-3-02,《原产地证书》
11029090,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11029090,I-3-01-2,《植物检疫证书》
11029090,I-3-02,《原产地证书》
11031100,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11031100,I-3-01-2,《植物检疫证书》
11031100,I-3-02,《原产地证书》
11031300,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11031300,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11031300,I-3-01-2,《植物检疫证书》
11031300,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11031300,I-3-02,《原产地证书》
11031910,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11031910,I-3-01-2,《植物检疫证书》
11031910,I-3-02,《原产地证书》
11031931,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11031931,I-3-01-2,《植物检疫证书》
11031931,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11031931,I-3-02,《原产地证书》
11031939,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11031939,I-3-01-2,《植物检疫证书》
11031939,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11031939,I-3-02,《原产地证书》
11031990,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11031990,I-3-01-2,《植物检疫证书》
11031990,I-3-02,《原产地证书》
11032010,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11032010,I-3-01-2,《植物检疫证书》
11032010,I-3-02,《原产地证书》
11032090,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11032090,I-3-01-2,《植物检疫证书》
11032090,I-3-02,《原产地证书》
11041200,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11041200,I-3-01-2,《植物检疫证书》
11041200,I-3-02,《原产地证书》
11041910,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11041910,I-3-01-2,《植物检疫证书》
11041910,I-3-02,《原产地证书》
11041990,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11041990,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11041990,I-3-01-2,《植物检疫证书》
11041990,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11041990,I-3-02,《原产地证书》
11042200,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11042200,I-3-01-2,《植物检疫证书》
11042200,I-3-02,《原产地证书》
11042300,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
11042300,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11042300,I-3-01-2,《植物检疫证书》
11042300,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
11042300,I-3-02,《原产地证书》
11042910,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11042910,I-3-01-2,《植物检疫证书》
11042910,I-3-02,《原产地证书》
11042990,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11042990,I-3-01-2,《植物检疫证书》
11042990,I-3-02,《原产地证书》
11043000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
11043000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11043000,I-3-01-2,《植物检疫证书》
11043000,I-3-02,《原产地证书》
11051000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11051000,I-3-01-2,《植物检疫证书》
11051000,I-3-02,《原产地证书》
11052000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11052000,I-3-01-2,《植物检疫证书》
11052000,I-3-02,《原产地证书》
11061000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11061000,I-3-01-2,《植物检疫证书》
11061000,I-3-02,《原产地证书》
11062000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11062000,I-3-01-2,《植物检疫证书》
11062000,I-3-02,《原产地证书》
11063000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11063000,I-3-01-2,《植物检疫证书》
11063000,I-3-02,《原产地证书》
11071000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
11071000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11071000,I-3-01-2,《植物检疫证书》
11071000,I-3-02,《原产地证书》
11072000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
11072000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11072000,I-3-01-2,《植物检疫证书》
11072000,I-3-02,《原产地证书》
11081100,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11081100,I-3-01-2,《植物检疫证书》
11081100,I-3-02,《原产地证书》
11081200,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11081200,I-3-01-2,《植物检疫证书》
11081200,I-3-02,《原产地证书》
11081300,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11081300,I-3-01-2,《植物检疫证书》
11081300,I-3-02,《原产地证书》
11081400,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11081400,I-3-01-2,《植物检疫证书》
11081400,I-3-02,《原产地证书》
11081900,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11081900,I-3-01-2,《植物检疫证书》
11081900,I-3-02,《原产地证书》
11082000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11082000,I-3-01-2,《植物检疫证书》
11082000,I-3-02,《原产地证书》
11090000,I-3-01-3,《卫生证书》（包括《兽医卫生证书》）
11090000,I-3-01-2,《植物检疫证书》
11090000,I-3-02,《原产地证书》
12011000,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
12011000,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12011000,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12011000,I-3-01-2,《植物检疫证书》
12011000,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12011000,I-3-02,《原产地证书》
12019011,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
12019011,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12019011,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12019011,I-3-01-2,《植物检疫证书》
12019011,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12019011,I-3-02,《原产地证书》
12019019,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
12019019,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12019019,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12019019,I-3-01-2,《植物检疫证书》
12019019,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12019019,I-3-02,《原产地证书》
12019020,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
12019020,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12019020,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12019020,I-3-01-2,《植物检疫证书》
12019020,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12019020,I-3-02,《原产地证书》
12019030,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
12019030,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12019030,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12019030,I-3-01-2,《植物检疫证书》
12019030,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12019030,I-3-02,《原产地证书》
12019090,I-3-01-4,《品质检验证书》（含《数/重量检验证书》）
12019090,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12019090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12019090,I-3-01-2,《植物检疫证书》
12019090,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12019090,I-3-02,《原产地证书》
12023000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
12023000,I-3-01-2,《植物检疫证书》
12023000,I-3-02,《原产地证书》
12024100,I-3-01-2,《植物检疫证书》
12024100,I-3-02,《原产地证书》
12024200,I-3-01-2,《植物检疫证书》
12024200,I-3-02,《原产地证书》
12030000,I-4-01,《进口食品境外生产企业注册编号/进口食品出口商（代理商）备案证明编号》，国家质检总局签对境外食品生产厂商、出口商或代理商颁发的注册、备案证明编号
12030000,I-3-01-2,《植物检疫证书》
12030000,I-3-02,《原产地证书》
12040000,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
12040000,I-3-01-2,《植物检疫证书》
12040000,I-3-02,《原产地证书》
12051010,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
12051010,I-3-01-2,《植物检疫证书》
12051010,I-3-02,《原产地证书》
12051090,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12051090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12051090,I-3-01-2,《植物检疫证书》
12051090,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12051090,I-3-02,《原产地证书》
12059010,I-1-03,《引进种子、苗木检疫审批单》（限种用提供），省级植保植检部门或国家农业部签发的允许农用种子、苗木进境的许可文件
12059010,I-3-01-2,《植物检疫证书》
12059010,I-3-02,《原产地证书》
12059090,I-1-06,《农业转基因生物标识审查认可批准文件》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的证明农业转基因生物进口标识通过审查的许可文件
12059090,I-1-01,"《进境动植物检疫许可证》,国家质检总局签发的允许动植物、动植物产品进境（过境）的许可文件"
12059090,I-3-01-2,《植物检疫证书》
12059090,I-1-05,《农业转基因生物安全证书（进口）》（仅适用于转基因产品进口报检），农业部向境外贸易商颁发的允许农业转基因生物进口的许可文件
12059090,I-3-02,《原产地证书》
